M_pop_18,M_pop_20,M_pop_30,M_pop_50,M_pop_100,M_pop_200,S_pop_18,S_pop_20,S_pop_30,S_pop_50,S_pop_100,S_pop_200
7385632.831046094,7129778.644246645,7918361.29106518,7680787.479073825,7808710.930714395,7236345.132211711,25571661.732666958,27669012.13624523,26874169.2842289,30391023.75662671,31045367.423769742,31092627.969260976
7345962.538785362,7408944.678384233,7826073.988439886,7845634.525099671,7456024.483999534,6983783.439437627,26777634.365438756,26358451.36501215,28316864.314709626,28757980.986743018,31122687.98727253,32345657.899917856
7581814.621984987,7092451.033512902,7859002.830523676,8092659.908294601,7422054.1530145435,6915681.82276298,25866216.3244989,25555919.401875373,26566745.877136216,29463067.770825915,31095281.414386302,31483001.00572788
7283110.0345909605,7500613.10732694,7701941.936822868,7751680.593710999,7651467.088616381,7394737.262826203,25095888.086956207,25830840.877022058,28667611.116167728,29866638.901734546,30528170.77232425,31281120.322744653
7839377.156773018,7155297.761307561,6774672.791856839,7480392.637013288,7791465.997521138,7613102.120839646,26772086.52962043,24766121.04073619,30236627.052258067,30130140.117250774,30863169.175997585,31784378.636592783
6770689.754885585,6754139.810740284,7205306.331744037,7841873.078948383,7671975.363294763,7391442.848466124,25554343.46212586,28879308.585387222,27296083.460315116,29655381.164539732,30522323.584048003,31236310.675804473
7689843.243868771,7286461.349728334,7814364.457705918,7360441.974115023,7730603.451715247,7553849.674920852,26177662.493847772,26432514.942881927,27519620.9060839,31092947.51663614,30547143.35535557,31826918.17320463
7527799.974629736,7548781.971722871,7407316.587309323,7393179.6880817115,7881113.85456209,7538303.142628779,26954292.485237256,25621659.095024116,29375975.519649487,30348410.177513607,30231994.905636825,31439711.687787298
7598334.222144986,7367448.547120191,7260437.553276834,8272396.118332439,7824640.874752866,7643494.488351154,27181058.96282834,26621330.021710664,28895367.10301309,30412608.7640402,31183813.15116813,31977690.57599125
7328954.5033201445,6774790.839408625,7281980.273243902,8292908.35575154,7922573.631784614,7722703.369487421,27259060.200901203,26396397.362152047,28493317.938614532,32151663.09265918,30919288.914136045,31988599.71205332
7624478.277770086,7603518.220502944,8075043.072783111,7637541.543292219,7593265.096346531,7288096.793833861,26985085.025878087,28168739.970277414,29829460.762055017,29386143.70277007,30614846.54533921,30510263.656985305
7609394.052296374,7408151.074959833,8013865.947254476,7433773.239880783,7615692.379318753,7324551.683434714,25879511.9061541,25840022.178462766,28380288.09983509,29996269.525487922,31929469.5857799,31918805.96315989
7057852.432553459,7983642.322010983,7761890.834362073,7596656.292287524,7727533.62640686,7894816.659602755,29991153.534077093,26545545.52923408,27774316.91903252,31984800.79056643,31442943.145838507,31190694.33301471
7414686.774992685,7242807.635578355,7897389.426513052,7935413.7116366625,8032361.251003425,7651929.97637552,29534531.871467635,25755070.558659896,27215824.423613153,29234859.38874259,31773725.341088228,31515382.591319516
7054798.148188209,8018668.615600767,7450233.508075129,8131969.546007502,7584298.544693389,7158739.157987821,27597339.917408217,27028160.725286543,27588288.641349606,30575006.76914024,31352025.373698886,31868653.091038942
7690475.545773805,7166777.385351802,7709605.1327030845,7003645.474584908,7937697.893131285,7597020.996121416,27213548.508923307,27236989.018931426,28825990.39305208,29810820.950566053,30392962.238652926,32283702.654408205
7963340.228866883,8012860.956165399,7992373.379244149,8125734.887273956,7674133.561044523,7914072.783988855,26224306.233077876,26989060.887990974,28382293.105416328,29197760.96598427,31447056.68209763,31172052.696225986
7454732.476188491,6456768.2724391,8190097.955702155,8156210.095895939,7227295.133351451,7298313.749847529,29709288.061229363,27957709.90683217,29138159.113538995,29287587.765785318,31123674.05046767,32198287.95427008
7130270.012249241,7524366.473338021,7678316.1145345215,7870684.531802836,7569836.822756647,7844106.286328193,25754426.527227875,25907939.110340096,32339261.487009674,29829063.719611146,30483697.489498977,31581953.60234715
7082526.514348932,7679163.480339164,7754341.469717775,7843818.428022407,7513466.354400551,7320779.5659450935,25652209.971652735,27138569.026766237,29143726.25803417,28038817.93362468,31159753.80644694,32157405.812915836
8178540.056036777,7350206.114803103,6689388.568290766,7870368.302185717,7552473.647284981,7764891.749914358,28408494.99506306,27016536.334765777,27268906.151413642,30143711.00614732,32079146.00000862,31625561.768338025
7589579.643888682,7407363.383144703,7362975.154719863,7968535.849228912,7754273.53350259,7626063.1688969685,26948703.176637646,27887861.724052124,27263404.501766436,31147212.68174044,31271386.68051141,32399399.352737978
7509233.448162747,7525458.134264515,8041916.544174558,7718646.222708537,7020205.356062326,7623836.19228201,28641440.46801143,27608482.1438233,29333534.2984278,31640952.0568485,31903467.849967316,31946825.676287137
7909865.317052858,7498680.149724633,7229711.309783412,7842109.573674541,7883750.102618135,7632408.80966775,27539926.520498008,26743287.930302594,28080063.464977827,30723569.91185154,30902200.63291656,31988640.879274525
7725607.377165255,7323017.674086655,7309961.980041625,7749845.90992688,7964244.839938749,7458688.915309466,24570899.093624882,25675335.634444162,27858432.427140422,30761288.87333172,32986367.529551364,31666932.209415987
7379390.543406225,8064223.01667417,7282003.150006196,8275726.229342551,7341982.94326251,7648194.539416249,24689789.625039883,27128557.830844384,28931362.923579246,28821584.467952818,30827194.554083705,31528072.75352075
7051241.068135981,7096072.23416516,6801193.388818913,8194259.054526435,7294747.117579189,7463897.778293552,27088656.50534839,25805859.101899847,29142635.863985192,28853354.379260525,30662734.472038597,30313303.476877525
7516294.453002009,7798039.300296438,6921546.650678648,7553672.27540684,7158762.44524339,7895429.004033037,25485770.782839574,28454976.557415605,27555075.03211488,27793054.05174955,30659226.686877396,30992925.090170793
7156957.053191314,7042289.383455468,8175752.618294016,7923798.527878563,7396883.504462892,7216972.305038436,26896699.472256117,25978126.62364486,27761895.43215567,30658554.526345372,32353944.53015985,31560517.9313227
7184672.414195753,8009379.093136761,7109851.121758662,8327142.320041046,7062197.719419555,7620852.010092609,26542693.869371265,25606047.336375467,27843293.65048232,31057451.50354319,31842035.294054724,31582519.289825015
